model_name,scenario,selected_threshold,total_cost,cost_per_sample,recall,precision,f2,flagged_sample_rate,tp,fp,fn,tn,notes,base_scenario,review_capacity_label,max_flagged_sample_rate
xgboost_cost_sensitive,balanced_review__moderate_review,0.4,104.0,0.33121019108280253,0.0952380952380952,0.1818181818181818,0.1052631578947368,0.0350318471337579,2,9,19,284,Best under this illustrative scenario under max flagged sample rate 0.30.,balanced_review,moderate_review,0.3
xgboost_cost_sensitive,quality_first,0.115,179.0,0.5700636942675159,0.6190476190476191,0.1160714285714285,0.3316326530612244,0.3566878980891719,13,99,8,194,Best under this illustrative scenario.,quality_first,none,
xgboost_cost_sensitive,quality_first__high_review,0.115,179.0,0.5700636942675159,0.6190476190476191,0.1160714285714285,0.3316326530612244,0.3566878980891719,13,99,8,194,Best under this illustrative scenario under max flagged sample rate 0.40.,quality_first,high_review,0.4
xgboost_cost_sensitive,quality_first__moderate_review,0.29,188.0,0.5987261146496815,0.238095238095238,0.1515151515151515,0.2136752136752136,0.1050955414012738,5,28,16,265,Best under this illustrative scenario under max flagged sample rate 0.30.,quality_first,moderate_review,0.3
xgboost_cost_sensitive,strict_quality,0.1,256.0,0.8152866242038217,0.6666666666666666,0.1076923076923077,0.3271028037383177,0.4140127388535032,14,116,7,177,Best under this illustrative scenario.,strict_quality,none,
xgboost_cost_sensitive,strict_quality__high_review,0.115,259.0,0.8248407643312102,0.6190476190476191,0.1160714285714285,0.3316326530612244,0.3566878980891719,13,99,8,194,Best under this illustrative scenario under max flagged sample rate 0.40.,strict_quality,high_review,0.4
xgboost_cost_sensitive,strict_quality__moderate_review,0.155,312.0,0.9936305732484076,0.4285714285714285,0.1111111111111111,0.2727272727272727,0.2579617834394904,9,72,12,221,Best under this illustrative scenario under max flagged sample rate 0.30.,strict_quality,moderate_review,0.3
xgboost_training_only_smote,balanced_review,0.43,100.0,0.3184713375796178,0.1428571428571428,0.2307692307692307,0.1546391752577319,0.0414012738853503,3,10,18,283,Best under this illustrative scenario.,balanced_review,none,
xgboost_training_only_smote,balanced_review__high_review,0.43,100.0,0.3184713375796178,0.1428571428571428,0.2307692307692307,0.1546391752577319,0.0414012738853503,3,10,18,283,Best under this illustrative scenario under max flagged sample rate 0.40.,balanced_review,high_review,0.4
xgboost_training_only_smote,balanced_review__moderate_review,0.43,100.0,0.3184713375796178,0.1428571428571428,0.2307692307692307,0.1546391752577319,0.0414012738853503,3,10,18,283,Best under this illustrative scenario under max flagged sample rate 0.30.,balanced_review,moderate_review,0.3
xgboost_training_only_smote,quality_first,0.165,174.0,0.554140127388535,0.3333333333333333,0.1707317073170731,0.28,0.1305732484076433,7,34,14,259,Best under this illustrative scenario.,quality_first,none,
xgboost_training_only_smote,quality_first__high_review,0.165,174.0,0.554140127388535,0.3333333333333333,0.1707317073170731,0.28,0.1305732484076433,7,34,14,259,Best under this illustrative scenario under max flagged sample rate 0.40.,quality_first,high_review,0.4
xgboost_training_only_smote,quality_first__moderate_review,0.165,174.0,0.554140127388535,0.3333333333333333,0.1707317073170731,0.28,0.1305732484076433,7,34,14,259,Best under this illustrative scenario under max flagged sample rate 0.30.,quality_first,moderate_review,0.3
xgboost_training_only_smote,strict_quality,0.05,271.0,0.8630573248407644,0.6190476190476191,0.1048387096774193,0.3125,0.3949044585987261,13,111,8,182,Best under this illustrative scenario.,strict_quality,none,
xgboost_training_only_smote,strict_quality__high_review,0.05,271.0,0.8630573248407644,0.6190476190476191,0.1048387096774193,0.3125,0.3949044585987261,13,111,8,182,Best under this illustrative scenario under max flagged sample rate 0.40.,strict_quality,high_review,0.4
xgboost_training_only_smote,strict_quality__moderate_review,0.08,314.0,1.0,0.4285714285714285,0.108433734939759,0.2694610778443114,0.2643312101910828,9,74,12,219,Best under this illustrative scenario under max flagged sample rate 0.30.,strict_quality,moderate_review,0.3
